"","date","group","freq","x","value","alignment","Conservative","Liberal","Moderate","President","Pres_Party","House","Senate"
"1",1972,"1: Extremely Liberal (blue)",32,1548,0.020671834625323,"Liberal",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"2",1972,"6: Conservative (Red)",220,1548,0.142118863049096,"Conservative",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"3",1972,"4: Moderate (Gray)",579,1548,0.374031007751938,"Moderate",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"4",1972,"2: Liberal (blue)",156,1548,0.10077519379845,"Liberal",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"5",1972,"7: Extremely Conservative (Red)",27,1548,0.0174418604651163,"Conservative",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"6",1972,"5: Slightly Conservative (Gray-red)",322,1548,0.208010335917313,"Conservative",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"7",1972,"3: Slightly Liberal (Gray-blue)",212,1548,0.136950904392765,"Liberal",0.367571059431525,0.258397932816537,0.374031007751938,"Richard Nixon (R)","Republican","Democrat","Democrat"
"8",1974,"1: Extremely Liberal (blue)",44,1813,0.02426916712631,"Liberal",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"9",1974,"6: Conservative (Red)",295,1813,0.162713734142306,"Conservative",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"10",1974,"4: Moderate (Gray)",654,1813,0.360728075013789,"Moderate",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"11",1974,"2: Liberal (blue)",271,1813,0.149476006618864,"Liberal",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"12",1974,"7: Extremely Conservative (Red)",47,1813,0.0259238830667402,"Conservative",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"13",1974,"5: Slightly Conservative (Gray-red)",304,1813,0.167677881963596,"Conservative",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"14",1974,"3: Slightly Liberal (Gray-blue)",198,1813,0.109211252068395,"Liberal",0.356315499172642,0.282956425813569,0.360728075013789,"Gerald Ford (R)","Republican","Democrat","Democrat"
"15",1976,"3: Slightly Liberal (Gray-blue)",280,2309,0.121264616717194,"Liberal",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"16",1976,"1: Extremely Liberal (blue)",48,2309,0.0207882200086618,"Liberal",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"17",1976,"4: Moderate (Gray)",878,2309,0.380251190991771,"Moderate",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"18",1976,"2: Liberal (blue)",237,2309,0.102641836292767,"Liberal",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"19",1976,"6: Conservative (Red)",371,2309,0.160675617150282,"Conservative",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"20",1976,"7: Extremely Conservative (Red)",73,2309,0.0316154179298398,"Conservative",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"21",1976,"5: Slightly Conservative (Gray-red)",422,2309,0.182763100909485,"Conservative",0.375054135989606,0.244694673018623,0.380251190991771,"Gerald Ford (R)","Republican","Democrat","Democrat"
"22",1978,"6: Conservative (Red)",259,1673,0.154811715481172,"Conservative",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
"23",1978,"7: Extremely Conservative (Red)",52,1673,0.0310818888224746,"Conservative",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
"24",1978,"5: Slightly Conservative (Gray-red)",309,1673,0.184698147041243,"Conservative",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
"25",1978,"1: Extremely Liberal (blue)",38,1673,0.0227136879856545,"Liberal",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
"26",1978,"2: Liberal (blue)",179,1673,0.106993424985057,"Liberal",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
"27",1978,"3: Slightly Liberal (Gray-blue)",225,1673,0.134488942020323,"Liberal",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
"28",1978,"4: Moderate (Gray)",611,1673,0.365212193664077,"Moderate",0.370591751344889,0.264196054991034,0.365212193664077,"Jimmy Carter (D)","Democrat","Democrat","Democrat"
